Go.	Va !
Don't give up like that.	N'abandonne pas comme ça.
Don't give up like that.	N'abandonnez pas comme cela.
Don't give up the fight.	Ne lâche pas !
Don't give up the fight.	N'abandonne pas le combat !
Don't give up the fight.	N'abandonnez pas le combat !
Don't go out after dark.	N'y va pas après la nuit tombée.
Don't hurt anybody else.	Ne fais de mal à personne d'autre !
Don't hurt anybody else.	Ne faites de mal à personne d'autre !
Don't leave me yet, Tom.	Ne me quitte pas déjà, Tom.
Don't let it get to you.	Ne le laissez pas vous approcher !
Don't let it get to you.	Ne le laisse pas t'approcher !
Don't look in my closet.	Ne regarde pas dans mon placard.
Don't look into the box.	Ne regarde pas dans la boîte.
Don't look into the box.	Ne regardez pas dans la boîte.
Don't make abrupt moves.	Ne fais pas de mouvements brusques.
Don't make me shoot you.	Ne m'oblige pas à te tirer dessus.
Don't make me shoot you.	Ne m'obligez pas à vous tirer dessus.
Don't make me wait long.	Ne me fais pas attendre longtemps.
Don't make me wait long.	Ne me faites pas attendre longtemps.
Don't make stupid jokes.	Ne fais pas de plaisanteries stupides !
Don't make stupid jokes.	Ne faites pas de plaisanteries stupides !
Don't mess up my system.	Ne fiche pas mon système en l'air !
Don't mess up my system.	Ne fichez pas mon système en l'air !
Don't pull the plug yet.	Ne retirez pas encore la prise !
Don't pull the plug yet.	Ne retire pas encore la prise !
Don't put it on my desk.	Ne le mets pas sur mon bureau.
Don't put it on my desk.	Pas sur mon bureau !
Don't read in this room.	Ne lis pas dans cette chambre.
Don't read in this room.	Ne lis pas dans cette pièce.
Don't read in this room.	Ne lisez pas dans cette pièce.
Don't sit on that bench.	Ne vous asseyez pas sur ce banc.
Don't state the obvious.	N'assénez pas des évidences !
Don't state the obvious.	N'assène pas des évidences !
Don't stay up all night.	Ne restez pas debout toute la nuit !
Don't stay up all night.	Ne reste pas debout toute la nuit !
Don't take it out on me.	Ne t'en prends pas à moi.
Don't take it out on me.	Ne vous en prenez pas à moi.
Don't talk during class.	Ne parlez pas en cours !
Don't talk during class.	Ne parle pas en cours !
Don't tell Tom anything.	Ne dites rien à Tom.
Don't tell Tom anything.	Ne dis rien à Tom.
Don't tell her about it.	Ne lui en parle pas.
Don't tell her about it.	Ne lui dis rien à ce propos.
Don't tell her about it.	Ne lui en dis rien.
Don't touch me, you pig!	Ne me touchez pas, espèce de porc !
Don't touch me, you pig!	Ne me touche pas, espèce de porc !
Don't touch that button!	Ne touche pas à ce bouton !
Don't touch that button!	Ne touchez pas à ce bouton !
Don't touch the flowers.	Ne touchez pas les fleurs.
Don't try to get up yet.	Ne tente pas encore de te lever !
Don't try to get up yet.	Ne tentez pas encore de vous lever !
Don't use his real name.	N'utilise pas son vrai nom.
Don't use his real name.	N'utilisez pas son vrai nom.
Don't use too much glue.	N'utilise pas trop de colle.
Don't use too much glue.	N'utilisez pas trop de colle.
Don't walk on the grass.	Ne marchez pas sur la pelouse.
Don't waste your breath.	Ne gaspille pas ta salive.
Don't waste your breath.	Ne gaspillez pas votre salive.
Don't watch too much TV.	Ne regardez pas trop la télé !
Don't watch too much TV.	Ne regarde pas trop la télé !
Don't worry. I'll do it.	Ne t'inquiète pas. Je le ferai.
Don't worry. I'll do it.	Ne vous inquiétez pas. Je m'en charge.
Don't you do this to me.	Ne me fais pas ça !
Don't you do this to me.	Ne me faites pas ça !
Don't you ever call Tom?	N'appelles-tu jamais Tom ?
Don't you feel anything?	Ne sens-tu rien ?
Don't you hang up on me.	Ne me raccrochez pas au nez !
Don't you hang up on me.	Ne me raccroche pas au nez !
Don't you know his name?	Ne connais-tu pas son nom ?
Don't you know his name?	Ne sais-tu pas son nom ?
Don't you know his name?	Ne savez-vous pas son nom ?
Don't you know his name?	Ne connaissez-vous pas son nom ?
Don't you know who I am?	Ne sais-tu pas qui je suis ?
Don't you know who I am?	Ne savez-vous pas qui je suis ?
Don't you like baseball?	N'aimez-vous pas le baseball ?
Don't you like swimming?	N'aimes-tu pas nager ?
Don't you like swimming?	N'aimez-vous pas nager ?
Don't you pay attention?	Tu ne peux pas faire attention?
Draw a line from A to B.	Tracez une ligne de A à B.
Draw a line from A to B.	Trace une ligne de A à B.
Drink it while it's hot.	Bois-le, tant que c'est chaud.
Each time was different.	Chaque fois était différente.
Eat a lot of vegetables.	Mangez beaucoup de légumes.
Eat as much as you like.	Mange autant que tu veux.
Eat up all your spinach!	Mange tous tes épinards.
Europe is not a country.	L'Europe n'est pas un pays.
Even I don't understand.	Même moi je ne comprends pas.
Even a child knows that.	Même un enfant sait cela.
Even children know that.	Même les enfants savent cela.
Every client has rights.	Tout client a des droits.
Every man has his price.	Tout le monde s'achète.
Every man has his price.	Chaque homme a son prix.
Everybody here knows me.	Tout le monde ici me connaît.
Everybody needs a hobby.	Tout le monde a besoin d'un passe-temps.
Everybody will be tired.	Tout le monde sera fatigué.
Everybody's in position.	Tout le monde est en place.
Everybody's still there.	Tout le monde est encore là.
Everyone knows everyone.	Tout le monde connaît tout le monde.
Everyone knows his name.	Tout le monde connaît son nom.
Everyone laughed at him.	Tout le monde a ri de lui.
Everyone looked puzzled.	Tout le monde eut l'air perplexe.
Everyone looked puzzled.	Tout le monde a eu l'air perplexe.
Everyone looked shocked.	Tout le monde avait l'air choqué.
Everyone looked unhappy.	Tout le monde avait l'air mécontent.
Everyone looks confused.	Tout le monde a l'air désorienté.
Everyone made fun of me.	Tout le monde s'est moqué de moi.
Everyone makes mistakes.	Tout le monde commet des fautes.
Everyone makes mistakes.	Tout le monde commet des erreurs.
Everyone rushed outside.	Tout le monde se rua à l'extérieur.
Everyone rushed outside.	Tout le monde se précipita dehors.
Everyone seems to agree.	Tout le monde semble être d'accord.
Everyone seems to agree.	Tout le monde semble s'accorder.
Everyone smiled but Tom.	Tout le monde sourit sauf Tom.
Everyone smiled but Tom.	Tout le monde a souri sauf Tom.
Everyone wanted to sing.	Tout le monde voulait chanter.
Everyone was speechless.	Tout le monde était sans voix.
Everyone's still asleep.	Tout le monde est encore endormi.
Everything here is mine.	Tout ce qu'il y a là est à moi.
Everything is connected.	Tout est connecté.
Everything was paid for.	Tout a été payé.
Everything's very cheap.	Tout est très bon marché.
Everything's very cheap.	Tout n'est vraiment pas cher.
Excuse me just a moment.	Excusez-moi juste un instant.
Excuse me just a moment.	Excuse-moi juste un moment.
Excuse me. May I get by?	Excusez-moi. Puis-je passer ?
Experience is important.	L'expérience est importante.
Explain what that means.	Explique ce que ça veut dire.
Explain what that means.	Expliquez ce que cela signifie.
Fashions change quickly.	Les modes changent rapidement.
Father has gone fishing.	Père est allé à la pêche.
Father is angry with me.	Père est en colère contre moi.
Father is having a bath.	Papa prend un bain.
Father is in his office.	Le père est dans son bureau.
Father is well as usual.	Père est en bonne santé, comme d'habitude.
Fill the tires with air.	Remplis les pneumatiques d'air.
Focus on your breathing.	Concentre-toi sur ta respiration.
Focus on your breathing.	Concentrez-vous sur votre respiration.
Forewarned is forearmed.	Un homme averti en vaut deux.
Fresh food is wonderful.	La nourriture fraîche est merveilleuse.
Get control of yourself.	Prends le contrôle de toi-même !
Get it out of the house.	Extirpe-le de la maison !
Get it out of the house.	Extirpez-le de la maison !
Get me a ticket, please.	Récupérez-moi un ticket, s'il vous plaît.
Get me something to eat.	Trouve-moi quelque chose à manger.
Get me something to eat.	Trouvez-moi quelque chose à manger.
Get me something to eat.	Dégote-moi quelque chose à manger.
Get me something to eat.	Dégotez-moi quelque chose à manger.
Get me something to eat.	Procurez-moi quelque chose à manger.
Get me something to eat.	Procure-moi quelque chose à manger.
Get out of here quickly!	Vite, sors d'ici !
Get out of here quickly!	Vite, sortez d'ici !
Get some help, will you?	Va quérir de l'aide, veux-tu ?
Get some help, will you?	Allez quérir de l'aide, voulez-vous ?
Get some help, will you?	Fais-toi aider, veux-tu ?
Get some help, will you?	Faites-vous aider, voulez-vous ?
Give Tom back his money.	Rends son argent à Tom.
Give me a call tomorrow.	Donne-moi un coup de fil demain.
Give me a cup of coffee.	Donne-moi une tasse de café.
Give me a cup of coffee.	Donnez-moi une tasse de café.
Give me a drink, please.	Donnez-moi quelque chose à boire, je vous prie !
Give me a drink, please.	Donne-moi quelque chose à boire, je te prie !
Give me a glass of milk.	Donnez-moi un verre de lait.
Give me a ring tomorrow.	Téléphone-moi demain.
Give me a second chance.	Donne-moi une seconde chance.
Give me all the details.	Donnez-moi tous les détails.
Give me another example.	Donnez-moi un autre exemple.
Give me back my glasses.	Redonne-moi mes lunettes.
Give me one good reason.	Donne-moi une bonne raison.
Give me one good reason.	Donnez-moi une bonne raison.
Give me one good reason.	Fournis-moi une bonne raison.
Give me one good reason.	Fournissez-moi une bonne raison.
Give me your flashlight.	Donne-moi ta lampe torche.
Give the dog some water.	Donne de l'eau au chien.
Give the dog some water.	Donnez de l'eau au chien.
Give us a ride downtown.	Conduis-nous en ville.
Give us a ride downtown.	Conduisez-nous en ville.
Glass is made from sand.	Le verre est fait à partir de sable.
Go and get me some milk.	Va me prendre du lait !
Go and get me some wine.	Va me chercher du vin.
Go get a drink of water.	Va chercher un verre d'eau.
Good morning, everybody.	Bonjour tout le monde.
Goodbyes are always sad.	Les adieux sont toujours tristes.
Great minds think alike.	Les grands esprits se rencontrent.
Great weather, isn't it?	Temps magnifique, n'est-ce pas ?
Great weather, isn't it?	Un temps magnifique, n'est-ce pas ?
Greece has many islands.	La Grèce a beaucoup d'îles.
Guess what that cost me.	Devine combien ça m'a coûté?
Half of these are Tom's.	Il y en a la moitié à Tom.
Hang on just one moment.	Attendez un instant.
Has Tom always been fat?	Tom a-t'il toujours été gros ?
Has Tom always been fat?	Tom a-t'il toujours été gras ?
Has anyone asked for me?	On m'a demandé ?
Has the climate changed?	Le climat a-t-il changé ?
Has the fever gone down?	Est-ce que la fièvre est tombée ?
Have I kept you waiting?	Vous ai-je fait attendre ?
Have I kept you waiting?	T'ai-je fait attendre ?
Have something to drink.	Prenez quelque chose à boire !
Have something to drink.	Prends quelque chose à boire !
Have they made progress?	Elles ont fait des progrès ?
Have they made progress?	Ont-elles fait des progrès ?
Have we ever met before?	Nous sommes-nous déjà rencontrés auparavant ?
Have you already chosen?	Avez-vous déjà choisi ?
Have you been to Boston?	As-tu été à Boston ?
Have you been to Boston?	Avez-vous été à Boston ?
Have you been waited on?	S'est-on occupé de vous ?
Have you called her yet?	L'as-tu déjà appelée ?
Have you called her yet?	L'avez-vous déjà appelée ?
Have you called him yet?	L'as-tu déjà appelé ?
Have you called him yet?	L'avez-vous déjà appelé ?
Have you chosen a topic?	As-tu choisi un thème ?
Have you chosen a topic?	As-tu choisi un sujet ?
Have you got some money?	Avez-vous un peu d'argent ?
Have you had dinner yet?	As-tu déjà dîné ?
Have you had dinner yet?	Avez-vous déjà dîné ?
Have you heard from her?	As-tu entendu parler d'elle ?
Have you heard from him?	As-tu eu de ses nouvelles ?
Have you heard from him?	Avez-vous eu de ses nouvelles ?
Have you lost your mind?	As-tu perdu la tête ?
Have you lost your mind?	As-tu perdu l'esprit ?
Have you lost your mind?	Avez-vous perdu l'esprit ?
Have you lost your mind?	Avez-vous perdu la tête ?
Have you met anyone yet?	As-tu déjà rencontré qui que ce soit ?
Have you met anyone yet?	Avez-vous déjà rencontré qui que ce soit ?
Have you read that book?	As-tu lu ce livre ?
Have you read this book?	Avez-vous lu ce livre ?
Have you read this book?	Est-ce que tu as lu ce livre ?
Have you seen my camera?	As-tu vu mon appareil photo ?
Have you written a book?	Avez-vous écrit un livre ?
Haven't you eaten lunch?	N'avez-vous pas déjeuné ?
Haven't you eaten lunch?	N'avez-vous pas dîné ?
Hawks are birds of prey.	Les faucons sont des oiseaux de proie.
He abandoned his family.	Il a abandonné sa famille.
He abused my confidence.	Il a abusé de ma confiance.
He abuses his authority.	Il abuse de son autorité.
He accepted reluctantly.	Il a accepté à contrecœur.
He acted like a lunatic.	Il a été frappé de démence.
He added to his savings.	Il a augmenté son épargne.
He and I are classmates.	Lui et moi sommes camarades de classe.
He answered his parents.	Il répondit à ses parents.
He answered incorrectly.	Il répondit de manière incorrecte.
He apologized profusely.	Il se confondit en excuses.
He apologized profusely.	Il s'est confondu en excuses.
He asked for more money.	Il demanda plus d'argent.
He asked for more money.	Il a demandé plus d'argent.
He asked for some money.	Il demanda un peu d'argent.
He asked for some money.	Il a demandé un peu d'argent.
He asked us to help him.	Il nous a demandé de l'aider.
He ate all of the apple.	Il mangea toute la pomme.
He barely escaped death.	Il a échappé à la mort de justesse.
He behaved like a child.	Il s'est comporté comme un enfant.
He behaved like a child.	Il s'est conduit comme un enfant.
He behaved like a child.	Il s'est conduit comme un gamin.
He behaves like a child.	Il se comporte comme un enfant.
He betrayed his country.	Il trahit son pays.
He bought her a sweater.	Il lui a acheté un chandail.
He bought himself a dog.	Il s'est acheté un chien.
He bowed to his teacher.	Il s'inclina devant son professeur.
He broke his leg skiing.	Il s'est cassé la jambe en skiant.
He burned himself badly.	Il s'est gravement brulé.
He called her bad names.	Il l'a injuriée.
He came back after dark.	Il est revenu après le crépuscule.
He came back from China.	Il est revenu de Chine.
He came back from China.	Il revint de Chine.
He came back from China.	Il est rentré de Chine.
He came here to help me.	Il est venu ici pour m'aider.
He came out of the room.	Il sortit de la chambre.
He can swim like a fish.	Il est capable de nager comme un poisson.
He can swim like a fish.	Il sait nager comme un poisson.
He can swim on his back.	Il peut nager sur le dos.
He can't cook very well.	Il ne sait pas très bien cuisiner.
He can't know the truth.	Il ne peut pas connaître la vérité.
He carried out his plan.	Il a mis son plan à exécution.
He caught a large trout.	Il captura une grosse truite.
He caught a large trout.	Il attrapa une grosse truite.
He caught a large trout.	Il a capturé une grosse truite.
He caught a large trout.	Il a attrapé une grosse truite.
He caught me by the arm.	Il me prit par le bras.
He chose them at random.	Il les a choisis au hasard.
He cleared out his desk.	Il a fait du vide sur son bureau.
He concentrated on that.	Il se concentra là dessus.
He continued to mock me.	Il continua à se moquer de moi.
He couldn't get the job.	Il n'a pas pu avoir le poste.
He decided to marry her.	Il décida de l'épouser.
He did it for the money.	Il a fait cela pour l'argent.
He did it for the money.	Il l'a fait pour l'argent.
He did it for the money.	Il l'a fait pour le fric.
He did it in good faith.	Il l'a fait de bonne foi.
He did not get up early.	Il ne s'est pas levé tôt.
He did not sleep a wink.	Il n'a pas fermé l'œil.
He did not speak at all.	Il n'a pas parlé du tout.
He did not speak at all.	Il n'a absolument rien dit.
He didn't keep his word.	Il n'a pas tenu sa parole.
He didn't keep his word.	Il n'a pas tenu parole.
He didn't want to do it.	Il ne voulut pas le faire.
He didn't want to do it.	Il n'a pas voulu le faire.
He didn't want to leave.	Il ne voulait pas partir.
He does not like tennis.	Il n'aime pas le tennis.
He does nothing but cry.	Il ne fait que pleurer.
He does well in physics.	Il est bon en physique.
He doesn't eat raw fish.	Il ne mange pas de poisson cru.
He doesn't have to know.	Il n'est pas nécessaire qu'il sache.
He doesn't know English.	Il ne sait pas l'anglais.
He doesn't like oranges.	Il n'aime pas les oranges.
He doesn't like to lose.	Il n'aime pas perdre.
He doesn't listen to me.	Il ne m'écoute pas.
He doesn't look his age.	Il ne fait pas son âge.
He doesn't need to know.	Il n'est pas nécessaire qu'il sache.
He doesn't need to work.	Il n'a pas besoin de travailler.
He doesn't seem to care.	Il ne semble pas s'en soucier.
He draws straight lines.	Il trace des lignes droites.
He drinks too much beer.	Il boit trop de bière.
He dropped to his knees.	Il est tombé à genoux.
He drowned in the river.	Il s'est noyé dans la rivière.
He earns a lot of money.	Il gagne beaucoup d'argent.
He enjoyed those visits.	Il prenait plaisir à ces visites.
He faced toward the sea.	Il faisait face à la mer.
He finally got his wish.	Il a finalement obtenu ce qu'il voulait.
He fought until the end.	Il se battit jusqu'à la fin.
He fought until the end.	Il se battit jusqu'au bout.
He fought until the end.	Il s'est battu jusqu'à la fin.
He fought until the end.	Il s'est battu jusqu'au bout.
He found out the secret.	Il découvrit le secret.
He found out the secret.	Il a découvert le secret.
He gave me a stern look.	Il me jeta un regard sévère.
He gave the child a toy.	Il a donné un jouet à l'enfant.
He glanced at his watch.	Il jeta un coup d'œil à sa montre.
He goes there every day.	Il va là-bas tous les jours.
He goes to China in May.	Il va en Chine au mois de mai.
He got across the river.	Il a traversé la rivière.
He got across the river.	Il a passé la rivière.
He got across the river.	Il traversa le fleuve.
He got lost in the city.	Il s'est perdu en ville.
He got through his work.	Il est arrivé à bout de son travail.
He got tired of reading.	Il est fatigué de lire.
He got tired of reading.	Il commence à en avoir assez de lire.
He got what he deserved.	Il n'a que ce qu'il mérite.
He had a blue jacket on.	Il portait une veste bleue.
He had to carry the bag.	Il dut porter le sac.
He happened to be there.	Il est arrivé là par hasard.
He has a lot of hobbies.	Il a de nombreux passe-temps.
He has a pleasant voice.	Il a une voix agréable.
He has a sense of humor.	Il a le sens de l'humour.
He has a test next week.	Il a un examen la semaine prochaine.
He has a tight schedule.	Il a un horaire chargé.
He has already gone out.	Il est déjà sorti.
He has already said yes.	Il a déjà dit oui.
He has bought a new car.	Il a acheté une nouvelle voiture.
He has come from Boston.	Il est venu de Boston.
He has enough willpower.	Il dispose de suffisamment de volonté.
He has gone to Hokkaido.	Il est allé à Hokkaïdo.
He has no eye for women.	Il n'a pas d'yeux pour les femmes.
He has no more strength.	Il n'a plus de force.
He has seen better days.	Il a vu de meilleurs jours.
He has written a letter.	Il a écrit une lettre.
He hasn't done anything.	Il n'a rien fait.
He hopes to visit Paris.	Il espère visiter Paris.
He is Japanese by birth.	Il est japonais de naissance.
He is a famous composer.	C'est un célèbre compositeur.
He is a friendly person.	C'est une personne sympathique.
He is a great scientist.	C'est un grand scientifique.
He is a highly paid man.	C'est un homme très bien payé.
He is a man of his word.	C'est un homme de parole.
He is a man of his word.	C'est un homme qui tient toujours ses promesses.
He is a medical student.	Il est étudiant en médecine.
He is a sort of painter.	C'est une sorte de peintre.
He is a tennis champion.	C'est un champion de tennis.
He is boiling with rage.	Il bout de colère.
He is doing a super job.	Il fait un super boulot.
He is drawing a picture.	Il est en train de dessiner une image.
He is eager to go there.	Il désire ardemment s'y rendre.
He is eager to go there.	Il est impatient de s'y rendre.
He is eager to go there.	Il désire ardemment y aller.
He is eager to go there.	Il est impatient d'y aller.
He is equal to the task.	Il est à la hauteur de la tâche.
He is fluent in Chinese.	Il parle couramment le chinois.
He is fluent in English.	Il parle anglais couramment.
He is fond of adventure.	Il aime l'aventure.
He is full of new ideas.	Il est plein de nouvelles idées.
He is hard up for money.	Il est fauché.
He is hard up for money.	Il manque d'argent.
He is hated by everyone.	Il est détesté de tous.
He is having coffee now.	À l'instant, il est en train de boire du café.
He is looking for a job.	Il est à la recherche d'un emploi.
He is lying on the sofa.	Il est allongé sur le canapé.
He is lying on the sofa.	Il est étendu sur le canapé.
He is no friend of mine.	Il ne compte pas au nombre de mes amis.
He is no friend of mine.	Ce n'est pas un ami à moi.
He is no friend of mine.	Ce n'est pas un de mes amis.
He is no longer a child.	Ce n'est plus un enfant.
He is no stranger to me.	Ce n'est pas un inconnu pour moi.
He is not himself today.	Il n'est pas lui-même aujourd'hui.
He is not honest at all.	Il n'est pas honnête du tout.
He is not honest at all.	Il n'est pas du tout honnête.
He is not like he seems.	Il n'est pas tel qu'il paraît.
He is not wearing a hat.	Il ne porte pas de chapeau.
He is not what he seems.	Il n'est pas ce qu'il semble.
He is on board the ship.	Il est à bord du bateau.
He is out of the office.	Il n'est pas au bureau.
He is poor at chemistry.	Il est faible en chimie.
He is putting on weight.	Il grossit.
He is quite a gentleman.	C'est un gentleman.
He is rather optimistic.	Il est plutôt optimiste.
He is respected by them.	Il a leur respect.
He is said to have died.	On le dit mort.
He is said to have died.	On le dit décédé.
He is short, but strong.	Il est petit mais fort.
He is smelling the soup.	Il hume la soupe.
He is still on his back.	Il est toujours alité.
He is strong as a horse.	Il est fort comme un cheval.
He is tall and handsome.	Il est à la fois grand et beau.
He is too old to try it.	Il est trop vieux pour essayer ça.
He is used to traveling.	Il est accoutumé à voyager.
He is very good-looking.	Il est très séduisant.
He isn't at home, is he?	Il n'est pas à la maison, n'est-ce pas ?
He isn't coming, either.	Il ne vient pas non plus.
He just wants attention.	Il veut juste attirer l'attention.
He keeps his room clean.	Il garde sa chambre propre.
He kept on telling lies.	Il a continué à mentir.
He laid out this garden.	Il a dessiné ce jardin.
He laid out this garden.	Il a mis en place ce jardin.
He left ten minutes ago.	Il est parti il y a 10 minutes.
He left the window open.	Il a laissé la fenêtre ouverte.
He likes anything sweet.	Il aime tout ce qui est sucré.
He lives here all alone.	Il vit ici tout seul.
He lives in a big house.	Il vit dans une grande maison.
He lives in a port town.	Il habite une ville portuaire.
He lives near the beach.	Il vit près de la plage.
He lives on this street.	Il vit dans cette rue.
He looked me in the eye.	Il me regarda dans les yeux.
He looked up at the sky.	Il regarda le ciel.
He looked up at the sky.	Il leva les yeux vers le ciel.
He made a grave mistake.	Il a fait une erreur grave.
He made a joke about it.	Il fit une blague à ce propos.
He made a joke about it.	Il a fait une blague à ce propos.
He made her a bookshelf.	Il lui a confectionné une étagère.
He mailed a letter home.	Il a envoyé une lettre chez lui.
He mailed a letter home.	Il a envoyé une lettre chez nous.
He married a local girl.	Il a épousé une fille du coin.
He married a local girl.	Il épousa une fille du coin.
He married a stewardess.	Il a épousé une hôtesse.
He met a nice young man.	Il a rencontré un gentil jeune homme.
He neglected his duties.	Il négligea ses devoirs.
He neglects his studies.	Il néglige ses études.
He never drinks alcohol.	Il ne boit jamais d'alcool.
He never keeps his word.	Il ne tient jamais ses promesses.
He never loses his head.	Il ne perd jamais la tête.
He never stops to think.	Il ne cesse jamais de réfléchir.
He no longer lives here.	Il n'habite plus ici.
He no longer lives here.	Il ne vit plus ici.
He no longer works here.	Il ne travaille plus ici.
He nodded encouragingly.	Il opina de manière encourageante.
He objected to our plan.	Il s'est opposé à notre plan.
He plays the piano well.	Il joue bien du piano.
He plugged in the radio.	Il brancha la radio.
He promised not to tell.	Il a promis de ne pas le dire.
He publicly insulted me.	Il m'a insulté publiquement.
He pulled open the door.	Il ouvrit la porte.
He pulled open the door.	Il a ouvert la porte.
He put air in his tires.	Il a gonflé ses pneus.
He put the luggage down.	Il posa les bagages.
He reached for the book.	Il étendit la main vers le livre.
He really ticked me off.	Il m'a vraiment énervé.
He runs a lot of hotels.	Il dirige beaucoup d'hôtels.
He saved a lot of money.	Il a économisé beaucoup d'argent.
He saved me from danger.	Il m'a sauvé du danger.
He saved me from danger.	Il m'a sauvée du danger.
He saw a light far away.	Il a vu une lumière au loin.
He seems to be friendly.	Il a l'air amical.
He seems to be rich now.	On dirait qu'il est riche.
He seems unable to swim.	Il semble incapable de nager.
He sometimes loses hope.	Il perd parfois espoir.
He sometimes watches TV.	Il regarde parfois la télé.
He sounds very immature.	À l'entendre, il semble très immature.
He speaks broken French.	Il parle un français approximatif.
He speaks broken French.	Il écorche le français.
He speaks ten languages.	Il parle dix langues.
He squashed my hat flat.	Il a aplati mon chapeau.
He stamped out the fire.	Il étouffa le feu en le piétinant.
He stamped out the fire.	Il a étouffé le feu du pied.
He stood all by himself.	Il se tenait tout seul.
He stuck to his promise.	Il a été fidèle à sa promesse.
He stuck to his promise.	Il tint sa promesse.
He stuck to his promise.	Il a tenu sa promesse.
He thinks he knows best.	Il pense qu'il sait tout mieux que les autres.
He thinks he's a genius.	Il pense être un génie.
He thinks he's so great.	Il pense qu'il est tellement important.
He thinks he's so great.	Il pense qu'il est tellement génial.
He thinks that's normal.	Il pense que c'est normal.
He thought up an excuse.	Il a inventé une excuse.
He thought up an excuse.	Il s'inventa une excuse.
He told me not to smoke.	Il m'a dit de ne pas fumer.
He took advantage of me.	Il a profité de moi.
He took her by the hand.	Il l'a prise par la main.
He took off his clothes.	Il retira ses vêtements.
He took off his clothes.	Il ôta ses vêtements.
He took off his clothes.	Il a retiré ses vêtements.
He took off his clothes.	Il a ôté ses vêtements.
He took off his glasses.	Il retira ses lunettes.
He took off his glasses.	Il a retiré ses lunettes.
He took the first prize.	Il a touché le premier prix.
He traveled on business.	Il a voyagé pour affaires.
He turned off the light.	Il éteignit la lumière.
He turned off the light.	Il a éteint la lumière.
He twirled his mustache.	Il tournicota sa moustache.
He unbuttoned his shirt.	Il déboutonna sa chemise.
He unbuttoned his shirt.	Il a déboutonné sa chemise.
He used to get up early.	D'habitude il se levait tôt.
He wanted to buy a book.	Il voulait acheter un livre.
He wants something more.	Il veut quelque chose de plus.
He wants to talk to you.	Il veut te parler.
He wants to talk to you.	Il veut vous parler.
He was a Roman Catholic.	Il était catholique romain.
He was a great musician.	C'était un grand musicien.
He was a tall, thin man.	C'était un homme grand et mince.
He was a trusted friend.	Il était un ami de confiance.
He was accused of theft.	Il fut accusé de vol.
He was accused of theft.	Il a été accusé de vol.
He was acting on orders.	Il agissait selon des ordres.
He was born in Nagasaki.	Il est né à Nagasaki.
He was brought to tears.	On l'a fait pleurer.
He was checking you out.	Il te matait.
He was checking you out.	Il vous matait.
He was checking you out.	C'est lui qui t'a encaissé.
He was checking you out.	C'est lui qui vous a encaissé.
He was covered with mud.	Il était couvert de boue.
He was crushed to death.	Il fut écrasé.
He was crushed to death.	Il a été écrasé.
He was elected chairman.	Il a été élu président.
He was guilty of murder.	Il était coupable de meurtre.
He was knee deep in mud.	Il était dans la boue jusqu'aux genoux.
He was lying on the bed.	Il était étendu sur le lit.
He was more than a king.	Il était plus qu'un roi.
He was more than a king.	Il fut plus qu'un roi.
He was not feeling well.	Il ne se sentait pas bien.
He was painfully skinny.	Il était atrocement maigre.
He was re-elected mayor.	Il a été réélu maire.
He was re-elected mayor.	Il a été réélu bourgmestre.
He was re-elected mayor.	Il a été réélu mayeur.
He was seized with fear.	Il fut pris d'un accès de peur.
He was sent into combat.	Il fut envoyé au combat.
He was supposed to come.	Il était supposé venir.
He was talking nonsense.	Il déraisonnait.
He was visibly bothered.	Il était visiblement inquiet.
He watches TV every day.	Il regarde la télévision tous les jours.
He went away in a hurry.	Il partit en trombe.
He went away in a hurry.	Il est parti en catastrophe.
He went away in a hurry.	Il est parti à la hâte.
He went away in a hurry.	Il partit à la hâte.
He went away in a hurry.	Il partit en catastrophe.
He went away in a hurry.	Il a déguerpi dare-dare.
He went out in the rain.	Il est sorti sous la pluie.
He went out of the room.	Il sortit de la pièce.
He went there in person.	Il y est allé en personne.
He went there in person.	Il s'y rendit en personne.
He whistled for his dog.	Il siffla son chien.
He will always be there.	Il sera toujours là.
He will always love her.	Il l'aimera toujours.
He will be back shortly.	Il sera de retour sous peu.
He witnessed the murder.	Il a été témoin du meurtre.
He won't leave me alone.	Il refuse de me laisser en paix.
He won't leave us alone.	Il ne va pas nous foutre la paix.
He won't leave us alone.	Il ne va pas nous ficher la paix.
He'll be a good husband.	Il sera un bon mari.
He'll be here real soon.	Il sera là d'un instant à l'autre.
He'll lend you his book.	Il te prêtera sûrement son livre.
He'll take care of that.	Il s'en occupera.
He's a Chinese-American.	C'est un Étasunien d'origine chinoise.
He's a cheat and a liar.	C'est un tricheur et un menteur.
He's a community leader.	C'est un chef de file de sa communauté.
He's a lovely young man.	C'est un adorable jeune homme.
He's a lovely young man.	C'est un jeune homme adorable.
He's a lovely young man.	C'est un charmant jeune homme.
He's a short order cook.	Il cuisine à la demande.
He's a very hard worker.	C'est un employé très travailleur.
He's a very hard worker.	C'est un travailleur acharné.
He's addicted to heroin.	Il est accro à l'héroïne.
He's addicted to heroin.	Il est accro à l'héro.
He's addicted to heroin.	Il est héroïno-dépendant.
He's addicted to heroin.	Il a une assuétude à l'héroïne.
He's addicted to heroin.	Il est dépendant à l'héroïne.
He's afraid of that dog.	Il a peur de ce chien.
He's an Italian teacher.	Il est professeur d'italien.
He's angry at the world.	Il est en colère après le monde.
He's certain to succeed.	C'est sûr qu'il réussira.
